Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Spiderman: Far from Home,Hobbs & Shaw,The Lion King (2019 Recent Version),Annabelle Come Home,Toy Story 4,47 Meters Down,Your Gender,Your Age Bracket
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Response
10976555523,245709500,09/07/2019 07:27:58 PM,09/07/2019 07:29:13 PM,,,,,,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Man,55-64
10972842969,245715358,09/05/2019 09:24:36 PM,09/05/2019 09:25:19 PM,96.234.29.120,,,,,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,35-44
10972794947,245715358,09/05/2019 08:54:57 PM,09/05/2019 08:55:50 PM,107.205.54.123,,,,,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,Under 18
10972751462,245715358,09/05/2019 08:26:01 PM,09/05/2019 08:28:24 PM,107.205.54.123,,,,,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,35-44
10972471453,245715358,09/05/2019 05:30:30 PM,09/05/2019 05:31:43 PM,172.56.3.166,,,,,I Don't have an opinion,I Don't have an opinion,Decent Movie,Great Movie,Great Movie,Decent Movie,Man,25-34
10971873184,245715358,09/05/2019 01:00:03 PM,09/05/2019 01:00:52 PM,38.109.72.226,,,,,Not Good,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,25-34
10971861372,245715358,09/05/2019 12:53:28 PM,09/05/2019 12:55:56 PM,108.30.204.19,,,,,I didn't see it,I didn't see it,Great Movie,Decent Movie,I didn't see it,Decent Movie,Man,25-34
10971809011,245715358,09/05/2019 12:33:19 PM,09/05/2019 12:34:25 PM,45.31.5.226,,,,,Best Movie Ever!,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,45-54
10971398086,245709500,09/05/2019 09:57:38 AM,09/05/2019 09:58:20 AM,,,,,,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,45-54
10971350360,245715358,09/05/2019 09:40:11 AM,09/05/2019 09:40:41 AM,165.91.12.168,,,,,Great Movie,I didn't see it,I didn't see it,I didn't see it,Decent Movie,I didn't see it,Man,18-24
10971347270,245715358,09/05/2019 09:38:49 AM,09/05/2019 09:39:33 AM,107.77.217.40,,,,,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,18-24
10971322807,245715358,09/05/2019 09:30:08 AM,09/05/2019 09:30:50 AM,107.77.197.151,,,,,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,65+
10971160987,245709500,09/05/2019 08:31:02 AM,09/05/2019 08:31:52 AM,,,,,,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,18-24
10971157469,245709500,09/05/2019 08:29:44 AM,09/05/2019 08:30:27 AM,,,,,,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,55-64
10971112419,245709500,09/05/2019 08:11:36 AM,09/05/2019 08:12:32 AM,,,,,,I didn't see it,I didn't see it,Great Movie,I didn't see it,I didn't see it,I didn't see it,Woman,45-54
10971094944,245709500,09/05/2019 08:05:00 AM,09/05/2019 08:05:40 AM,,,,,,Decent Movie,I didn't see it,Great Movie,I didn't see it,I didn't see it,I didn't see it,Woman,55-64
10971077610,245709500,09/05/2019 07:57:59 AM,09/05/2019 07:58:41 AM,,,,,,Great Movie,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Woman,35-44
10970920112,245715358,09/05/2019 06:42:04 AM,09/05/2019 06:42:40 AM,107.205.54.123,,,,,Great Movie,Great Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,35-44
10970285008,245709500,09/04/2019 11:11:45 PM,09/04/2019 11:12:31 PM,,,,,,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Great Movie,I didn't see it,Man,45-54
10970192077,245709500,09/04/2019 10:07:14 PM,09/04/2019 10:09:46 PM,,,,,,Decent Movie,Decent Movie,I didn't see it,I didn't see it,I didn't see it,I didn't see it,Man,Under 18
10970180147,245709500,09/04/2019 10:00:52 PM,09/04/2019 10:01:59 PM,,,,,,Great Movie,Decent Movie,Decent Movie,I didn't see it,Decent Movie,I didn't see it,Woman,45-54
