"Country","Indicator","Note","Year_2000","Year_2005","Year_2010","Year2015"
"Algeria","Current Health Expenditure (CHE) per Capita in PPP","","282.38499577","354.95766412","645.28782782","1020.54641371"
"Algeria","Gross Domestic Product ","in million current PPP","252385.0658027","365236.38916566","455452.36605894","582720.55376183"
"Algeria","Purchasing Power Parity (NCU per Int$)","","16.33812994","20.70439919","26.32890922","28.66228056"
"Algeria","Population (in thousands)","","31183.66","33288.437","36117.637","39871.528"
"Algeria","Female Population 15-49","","12061.215","12739.572","13204.201","14043.068"
"Angola","Current Health Expenditure (CHE) per Capita in PPP","","64.92659894","131.33186363","158.17300542","195.75734656"
"Angola","Gross Domestic Product ","in million current PPP","45726.40375074","68754.61066185","135067.31639202","184842.95978187"
"Angola","Purchasing Power Parity (NCU per Int$)","","2.00466235","35.79141786","56.15439177","66.65536526"
"Angola","Population (in thousands)","","16440.924","19552.542","23369.131","27859.305"
"Angola","Female Population 15-49","","6121.979","7243.345","8637.37","10368.295"
"Benin","Current Health Expenditure (CHE) per Capita in PPP","","55.87373611","62.02448714","72.87557651","84.47116607"
"Benin","Gross Domestic Product ","in million current PPP","9069.16309552","12338.11133285","16392.0108473","22379.84383935"
"Benin","Purchasing Power Parity (NCU per Int$)","","201.69446516","205.36368425","210.59039261","219.11681043"
"Benin","Population (in thousands)","","6865.951","7982.225","9199.259","10575.952"
"Benin","Female Population 15-49","","2490.878","2910.917","3363.206","3869.976"
"Botswana","Current Health Expenditure (CHE) per Capita in PPP","","480.0484422","542.7887845","784.27455352","976.39405165"
"Botswana","Gross Domestic Product ","in million current PPP","14261.99791963","19140.50878845","26254.84202626","36161.29751883"
"Botswana","Purchasing Power Parity (NCU per Int$)","","2.07060751","2.65154916","3.3000389","4.0392909"
"Botswana","Population (in thousands)","","1728.34","1855.852","2014.866","2209.197"
"Botswana","Female Population 15-49","","673.005","719.828","771.422","834.267"
"Burkina Faso","Current Health Expenditure (CHE) per Capita in PPP","","28.28363904","50.10642226","82.18229471","99.02623501"
"Burkina Faso","Gross Domestic Product ","in million current PPP","9896.3873632","15138.23212208","21762.79239118","30786.77476059"
"Burkina Faso","Purchasing Power Parity (NCU per Int$)","","189.44094761","190.39264141","204.36577807","200.17264062"
"Burkina Faso","Population (in thousands)","","11607.942","13421.93","15605.217","18110.624"
"Burkina Faso","Female Population 15-49","","4245.828","4922.781","5725.727","6678.049"
"Burundi","Current Health Expenditure (CHE) per Capita in PPP","","36.91669343","54.30778421","84.60976803","51.61225745"
"Burundi","Gross Domestic Product ","in million current PPP","3825.38422619","4785.81938355","6578.06244953","7964.67210323"
"Burundi","Purchasing Power Parity (NCU per Int$)","","163.973594","252.46335124","380.2102852","593.05077959"
"Burundi","Population (in thousands)","","6400.706","7423.289","8766.93","10199.27"
"Burundi","Female Population 15-49","","2395.784","2797.844","3259.903","3769.846"
"Cameroon","Current Health Expenditure (CHE) per Capita in PPP","","82.18864291","104.34311237","129.28776373","164.5964636"
"Cameroon","Gross Domestic Product ","in million current PPP","31523.32481844","43884.55066575","57326.55778978","79975.80995598"
"Cameroon","Purchasing Power Parity (NCU per Int$)","","227.75278437","215.6779973","225.87143724","228.63640906"
"Cameroon","Population (in thousands)","","15274.234","17420.795","19970.495","22834.522"
"Cameroon","Female Population 15-49","","5560.171","6357.002","7316.344","8441.712"
"Cabo Verde Republic of","Current Health Expenditure (CHE) per Capita in PPP","","147.31621449","198.22942852","255.57061915","341.25092981"
"Cabo Verde Republic of","Gross Domestic Product ","in million current PPP","1445.51237384","2201.24119902","2868.79557605","3405.32896881"
