"Country (or dependent territory)","1985","%","1990","%","1995","%","2000","%","2005","%","2010","%","2015","%"
"Afghanistan","13,120",-2.7,"13,569",0.67,"19,446",7.46,"22,462",2.93,"26,335",3.23,"29,121",2.03,"32,565",2.26
"Albania","2,957",2.05,"3,245",1.88,"3,159",-0.54,"3,159",0,"3,025",-0.86,"2,987",-0.25,"3,030",0.28
"Algeria","22,009",3.19,"25,191",2.74,"28,322",2.37,"30,639",1.58,"32,918",1.45,"35,950",1.78,"39,543",1.92
"American Samoa","39",3.57,"48",4.09,"54",2.69,"58",1.39,"57",-0.28,"56",-0.53,"55",-0.41
"Andorra","45",5.84,"53",3.41,"64",3.7,"66",0.58,"77",3.18,"85",2.12,"86",0.25
"Angola","8,390",3.09,"9,486",2.48,"11,000",3.01,"12,683",2.89,"14,770",3.09,"17,043",2.9,"19,626",2.86
"Anguilla","7",1.35,"9",3.84,"10",3.2,"12",3.02,"14",2.8,"15",2.4,"17",2.14
"Antigua and Barbuda","65",-1.24,"65",-0.07,"69",1.38,"76",1.86,"82",1.53,"87",1.31,"93",1.28
"Argentina","30,672",1.57,"33,036",1.5,"35,274",1.32,"37,336",1.14,"39,182",0.97,"41,344",1.08,"43,432",0.99
"Armenia","3,465",2.02,"3,530",0.37,"3,131",-2.37,"3,101",-0.19,"3,085",-0.1,"3,072",-0.08,"3,057",-0.1
"Aruba","62",0.53,"64",0.49,"80",4.87,"90",2.39,"97",1.51,"105",1.52,"113",1.41
"Australia","15,696",1.44,"16,957",1.56,"17,976",1.17,"19,054",1.17,"20,233",1.21,"21,516",1.24,"22,752",1.12
"Austria","7,560",0.03,"7,723",0.43,"8,048",0.83,"8,114",0.16,"8,315",0.49,"8,448",0.32,"8,666",0.51
"Azerbaijan","6,846",2,"7,498",1.84,"8,051",1.43,"8,464",1,"8,826",0.84,"9,302",1.06,"9,781",1.01
"Bahamas","229",1.7,"246",1.44,"266",1.59,"283",1.28,"297",0.98,"311",0.91,"325",0.9
"Bahrain","424",4.02,"506",3.62,"583",2.85,"655",2.38,"916",6.94,"1,181",5.2,"1,347",2.68
"Bangladesh","102,309",3.07,"112,213",1.87,"121,443",1.59,"132,151",1.7,"144,139",1.75,"156,119",1.61,"168,958",1.59
"Barbados","258",0.42,"263",0.39,"268",0.41,"274",0.45,"281",0.46,"286",0.4,"291",0.34
"Belarus","9,982",0.69,"10,201",0.43,"10,205",0.01,"10,034",-0.34,"9,807",-0.46,"9,681",-0.26,"9,590",-0.19
"Belgium","9,859",0.02,"9,970",0.22,"10,156",0.37,"10,264",0.21,"10,470",0.4,"10,866",0.75,"11,324",0.83
"Belize","166",2.77,"191",2.89,"218",2.62,"249",2.69,"282",2.55,"315",2.26,"348",2.01
"Benin","4,031",3.11,"4,706",3.15,"5,647",3.71,"6,620",3.23,"7,778",3.28,"9,057",3.09,"10,449",2.9
"Bermuda","57",0.53,"58",0.56,"61",0.86,"64",0.9,"66",0.89,"69",0.7,"71",0.56
"Bhutan","530",3.48,"615",3.04,"567",-1.63,"606",1.36,"655",1.57,"700",1.34,"742",1.17
"Bolivia","5,935",1.75,"6,574",2.07,"7,375",2.33,"8,196",2.13,"9,073",2.06,"9,948",1.86,"10,801",1.66
"Bosnia and Herzegovina","4,227",0.65,"4,315",0.41,"3,547",-3.85,"3,806",1.42,"3,894",0.46,"3,885",-0.04,"3,868",-0.09
"Botswana","1,080",3.7,"1,265",3.21,"1,478",3.16,"1,680",2.6,"1,841",1.84,"2,030",1.98,"2,183",1.47
"Brazil","135,734",2.31,"149,410",1.94,"161,912",1.62,"174,316",1.49,"186,021",1.31,"195,835",1.03,"204,260",0.85
"British Virgin Islands","14",3.69,"16",3.54,"20",3.97,"23",3.38,"26",2.82,"30",2.76,"34",2.45
"Brunei","218",3.3,"253",3.03,"288",2.63,"326",2.47,"362",2.11,"396",1.81,"430",1.69
"Bulgaria","8,944",0.23,"8,895",-0.11,"8,285",-1.41,"7,909",-0.92,"7,612",-0.76,"7,392",-0.58,"7,187",-0.56
"Burkina Faso","7,171",2.56,"8,362",3.12,"9,903",3.44,"11,588",3.19,"13,904",3.71,"16,242",3.16,"18,932",3.11
"Burundi","4,915",2.72,"5,509",2.31,"5,800",1.03,"6,716",2.98,"7,789",3.01,"9,121",3.21,"10,743",3.33
"Cambodia","7,842",2.62,"9,368",3.62,"11,235",3.7,"12,352",1.91,"13,298",1.49,"14,454",1.68,"15,709",1.68
"Cameroon","10,227",3.15,"11,984",3.22,"13,828",2.9,"15,818",2.73,"18,132",2.77,"20,823",2.81,"23,740",2.66
"Canada","25,942",1.07,"27,791",1.39,"29,691",1.33,"31,100",0.93,"32,387",0.81,"33,760",0.83,"35,100",0.78
"Cape Verde","317",1.34,"340",1.4,"386",2.55,"431",2.22,"471",1.81,"509",1.57,"546",1.43
