"ISO3","Country","Year","Total","Age_1517","Age_1819","Age_lt20","Age_gt20","Age_2034","Age_3549","Source","SourceYear"
"AFG","Afghanistan","2010","39","              34","              35","              34","              37","              37","              37","MICS","2010"
"ALB","Albania","2000","99.1291241638999","100","100","100","99.0734476224367","98.9604208782254","100","MICS","2000"
"ALB","Albania","2005","99.7560043339038","100","100","100","99.7308564178849","99.7006924128754","100","MICS","2005"
"ALB","Albania","2008","99.4389399161057","93.9805367626799","100","98.198223919787","99.5253293235263","99.5189609784249","99.6050081410941","DHS","2008"
"ARM","Armenia","2000","97.1768560898337","96.1092640141004","97.3167730215472","97.112296301636","97.1883744086192","97.4217674005781","93.8763280483474","DHS","2000"
"ARM","Armenia","2005","98.5819512405809","100","100","100","98.4219872151632","98.3336271503564","100","DHS","2005"
"ARM","Armenia","2010","100","100","100","100","100","100","100","DHS","2010"
"AZE","Azerbaijan","2000","87.468671679198","100","91.6666666666667","94","86.5497076023392","87.3817034700316","76","MICS","2000"
"AZE","Azerbaijan","2006","89.5826129154013","96.3219109387315","96.007394399452","96.0907370879405","88.9887563923704","89.1024951119957","87.6490910432445","DHS","2006"
"BGD","Bangladesh","2004","15.5355792548096","14.659160649885","17.0460969662523","15.7557293822027","15.4272774340049","15.9158543553316","9.65134903482117","DHS","2004"
"BGD","Bangladesh","2006","20.0754371102701","16.734836361069","23.5504580835537","20.2092640877277","20.0258360806501","20.3586743201378","16.2541664685348","MICS","2006"
"BGD","Bangladesh","2007","22.7004838639556","17.8178737409448","23.3438635815837","20.5042411861227","23.7617944604633","24.1175793122289","18.9043669416338","DHS","2007"
"BGD","Bangladesh","2011","33.0246740392946","32.0958689468388","35.3319171770895","33.7694894785529","32.7025061064878","33.3723677742375","20.1519551845325","DHS","2011"
"BGD","Bangladesh","2013","43.5110604403561","47.8762840158632","45.2722822600352","46.0851422621205","42.8853478009787","44.3320043654868","28.5546891026378","MICS","2013"
"BGD","Bangladesh","2014","44.3439230196591","43.0840680799319","42.4054432333809","42.7420547790195","45.0897457614196","45.3157431503369","40.9106489623228","DHS","2014"
"BRB","Barbados","2012","98.92406908193","0","100","100","98.1272683975533","97.3988645003702","100","MICS","2012"
"BLR","Belarus","2005","100","100","100","100","100","100","100","MICS","2005"
"BLR","Belarus","2012","99.95612109494","100","100","100","99.9537076576443","99.9494565035737","100","MICS","2012"
"BLZ","Belize","2006","95.8361405437898","100","97.3063324276504","98.260239189381","95.6793369736852","97.0732308919536","87.2349907944669","MICS","2006"
"BLZ","Belize","2011","96.1619916707694","95.902906615169","98.0245445108487","97.1846911831513","95.9502508883309","96.3640869125023","93.3445190069252","MICS","2011"
"BEN","Benin","2001","75.3057508007733","75.2307234672941","73.5963406986672","74.1640128123608","75.4775379000813","76.4949755984368","70.0537734520552","DHS","2001"
"BEN","Benin","2006","80.5058122029287","77.471225905828","78.3644071976751","78.0651967322211","80.8195000871047","81.8292994275806","74.8194544053242","DHS","2006"
"BEN","Benin","2011","85.6094681705147","84.8748476031602","83.3916951528209","83.9202072959185","85.8069189078465","85.9376780160369","85.0844627647362","DHS","2011"
"BTN","Bhutan","2010","64.5213947305295","0","43.5687874254597","40.1836580665711","58.2530047974219","58.3873864861521","57.553182539425","MICS","2010"
"BOL","Bolivia (Plurinational State of)","2000","68.7853742246676","79.8702651734908","78.6018258683024","79.0494833859663","66.9047755496149","69.9191300315799","53.3155127944444","MICS","2000"
